image,arith_mean,arith_sort,arith_skew,arith_kurt,geom_mean,geom_sort,geom_skew,geom_kurt,p=5,p=10,p=16,p=25,p=50,p=75,p=84,p=90,p=95,prc_silt,prc_sand,prc_gravel,prc_cobble,13.444948,19.928689,26.412430,32.896172,39.379913,45.863655,52.347396,58.831138,65.314879,71.798620,78.282362,84.766103,91.249845,97.733586,104.217327,110.701069,117.184810,123.668552,130.152293,136.636034,143.119776,149.603517,156.087259
PICT0152.jpg,63.225030,38.226623,0.011065,0.036965,48.364138,124.639530,-0.014986,1.013663,11.348486,19.998224,24.112577,29.980585,46.017898,81.393987,101.952988,117.024823,134.200238,NaN,NaN,NaN,NaN,0.082963,0.133818,0.154390,0.133800,0.092472,0.074601,0.046982,0.037868,0.040295,0.040572,0.038338,0.034101,0.027860,0.020855,0.014130,0.008964,0.005846,0.003673,0.002812,0.002120,0.001591,0.001162,0.000788
PICT0153.jpg,55.650222,30.365173,0.010323,0.043146,43.115563,142.160509,-0.267263,1.043359,11.372901,17.094724,21.249231,28.241218,48.303754,68.964682,78.086881,89.254973,110.404538,NaN,NaN,NaN,NaN,0.064283,0.102137,0.090278,0.083803,0.088775,0.092734,0.088055,0.083838,0.081999,0.065810,0.043277,0.027144,0.018533,0.013655,0.010452,0.008449,0.007337,0.006505,0.005798,0.005159,0.004584,0.003995,0.003401
PICT0154.jpg,47.377469,27.261486,0.011958,0.045301,36.862845,146.373247,-0.184788,1.093968,8.712896,14.871268,18.617422,23.415016,39.079818,58.174967,68.848502,80.178869,98.895027,NaN,NaN,NaN,NaN,0.077156,0.103847,0.128321,0.111293,0.083239,0.098409,0.087569,0.066947,0.058392,0.045565,0.032501,0.023132,0.017619,0.013999,0.011251,0.009215,0.007676,0.006316,0.005112,0.004120,0.003328,0.002738,0.002255
PICT0155.jpg,52.664793,33.246428,0.015394,0.056912,38.848210,131.765835,-0.099764,1.253408,6.188408,12.376816,19.262420,24.214018,38.079039,63.046769,79.931178,95.257042,115.505404,NaN,NaN,NaN,NaN,0.152140,0.166788,0.167833,0.135523,0.080084,0.058192,0.051444,0.042515,0.036061,0.028668,0.021997,0.016362,0.011831,0.008387,0.005871,0.004313,0.003288,0.002483,0.001922,0.001490,0.001180,0.000926,0.000702
PICT0156.jpg,44.676681,24.541267,0.010090,0.036832,35.732281,152.892778,-0.125715,0.982263,12.012134,15.205740,18.533372,22.933498,37.749628,53.806257,65.210135,78.340399,92.741871,NaN,NaN,NaN,NaN,0.040049,0.085320,0.110541,0.116720,0.082946,0.076742,0.087306,0.093700,0.072118,0.045752,0.032792,0.027055,0.023032,0.020592,0.019154,0.017389,0.014379,0.011095,0.007998,0.005667,0.004046,0.003101,0.002506
PICT0157.jpg,39.215333,26.244368,0.017293,0.066254,26.205820,127.769922,-0.246269,1.287114,3.438628,6.877257,11.003610,16.247804,28.995983,45.922261,56.405338,70.705335,89.845183,NaN,NaN,NaN,NaN,0.212610,0.162612,0.120835,0.121239,0.100044,0.076688,0.050621,0.032256,0.024831,0.021078,0.018018,0.014408,0.010635,0.007723,0.005806,0.004708,0.003855,0.003122,0.002575,0.002100,0.001693,0.001393,0.001150
PICT0160.jpg,31.868524,19.810904,0.017369,0.067918,23.514830,160.330376,-0.210278,1.341836,3.871638,7.743276,11.823228,14.897146,24.973411,36.181162,44.036382,54.148939,70.738876,NaN,NaN,NaN,NaN,0.146923,0.159557,0.124413,0.139606,0.133149,0.084031,0.052690,0.037032,0.026632,0.018706,0.015740,0.012906,0.010569,0.008797,0.007267,0.005496,0.004276,0.003304,0.002682,0.002132,0.001649,0.001335,0.001109
PICT0163.jpg,31.606817,18.936924,0.015449,0.060146,23.382695,162.621053,-0.147089,1.268793,3.988216,7.976433,12.004464,15.257391,23.685152,37.897203,44.963976,53.680106,66.685914,NaN,NaN,NaN,NaN,0.142628,0.150776,0.175285,0.121072,0.085799,0.085906,0.071143,0.045275,0.029001,0.023278,0.017988,0.012420,0.009350,0.007736,0.006495,0.004750,0.003404,0.002322,0.001787,0.001352,0.001009,0.000733,0.000492
PICT0164.jpg,28.020820,17.369321,0.015196,0.057809,20.829687,162.163339,-0.167510,1.198163,3.509952,7.019904,10.258158,12.718325,21.439337,33.642661,41.092970,48.746914,60.307526,NaN,NaN,NaN,NaN,0.137285,0.167546,0.118834,0.132312,0.098738,0.080269,0.062198,0.049321,0.038035,0.028671,0.020847,0.015221,0.011420,0.008733,0.006791,0.005593,0.004633,0.003760,0.002975,0.002355,0.001884,0.001477,0.001102
PICT0167.jpg,34.343559,23.304597,0.016235,0.059080,23.967889,141.050755,-0.085621,1.173663,3.549421,7.098842,11.358147,14.518417,23.428828,42.908370,51.740583,62.632837,79.049214,NaN,NaN,NaN,NaN,0.174199,0.209341,0.135251,0.100995,0.057833,0.062987,0.068049,0.050245,0.030532,0.023171,0.020035,0.014973,0.010979,0.008581,0.007178,0.005946,0.004934,0.004024,0.003271,0.002605,0.002021,0.001596,0.001255
PICT0169.jpg,29.851897,17.883776,0.015034,0.053161,23.132698,166.443190,-0.014599,1.116312,6.585113,10.458182,12.294404,14.979169,22.674931,34.830895,44.404338,52.703978,65.580368,NaN,NaN,NaN,NaN,0.073174,0.149652,0.163314,0.134472,0.137791,0.069910,0.043300,0.044527,0.040361,0.033007,0.026015,0.018176,0.013795,0.011677,0.010331,0.008529,0.006648,0.004884,0.003567,0.002574,0.001872,0.001395,0.001031
